Carbon Species,BET,ASA,Temperature (deg C),Pressure (MPA),WHSV (ml.gcat-1.hr-1),Conversion (%),Selectivity (%),STY(g Catkg-1 h-1 ),STY (gmethanol/gcat.hr),STY (mol/gcat.hr),STY (mmol/gcat.hr),x
Pure CO2,36.9,12.8,220,4,2600,20.17240301,73.10363243,7.296247498,0.007296247,0.000227723,0.22772308,
Pure CO2,36.9,12.8,220,3,2600,15.76578904,76.19192886,4.112526674,0.004112527,0.000128356,0.128356014,
Pure CO2,36.9,12.8,220,2.5,2600,13.49565976,80.65348079,3.841876046,0.003841876,0.000119909,0.119908741,
Pure CO2,36.9,12.8,220,2,2600,11.62164313,84.82729974,3.700049484,0.003700049,0.000115482,0.115482194,
Pure CO2,36.9,12.8,240,4,2600,23.5449616,71.03357731,8.524486126,0.008524486,0.000266058,0.266057619,
Pure CO2,36.9,12.8,240,3,2600,18.51754059,73.28426516,6.917120929,0.006917121,0.00021589,0.215890166,
Pure CO2,36.9,12.8,240,2.5,2600,15.18993962,77.46097913,5.95076037,0.00595076,0.000185729,0.1857291,
Pure CO2,36.9,12.8,240,2,2600,13.47936133,83.82064916,4.253639963,0.00425364,0.00013276,0.132760298,
Pure CO2,36.9,12.8,200,4,2600,16.32864175,77.35095045,3.919898457,0.003919898,0.000122344,0.122343897,
Pure CO2,36.9,12.8,200,3,2600,14.87875259,80.38071236,1.641649322,0.001641649,5.12375E-05,0.051237494,
Pure CO2,36.9,12.8,200,2.5,2600,12.92382492,85.37444639,0.909536514,0.000909537,2.83875E-05,0.028387532,
Pure CO2,36.9,12.8,200,2,2600,9.602339627,89.38654516,0.815338091,0.000815338,2.54475E-05,0.025447506,
Pure CO2,36.9,12.8,210,4,2600,17.33279869,74.93436047,4.741960843,0.004741961,0.000148001,0.148001275,
Pure CO2,36.9,12.8,260,4,2600,26.93840877,63.97364846,10.53439826,0.010534398,0.000328789,0.328788959,
6% CO2 + 19% CO,36.9,12.8,240,4,5200,23.0531153,92.8199736,53.39699194,0.053396992,0.001666573,1.666572782,
8% CO2 + 17% CO,36.9,12.8,240,4,5200,17.11402472,89.94712715,57.7273977,0.057727398,0.001801729,1.801729017,
Pure CO,36.9,12.8,240,4,5200,27.96005953,55.69019744,123.4681486,0.123468149,0.003853563,3.853562691,
Pure CO,36.9,12.8,220,4,5200,20.70990553,69.03667541,59.42242848,0.059422428,0.001854633,1.854632599,
